ProductId,SkuId,EAN,Brand,Category,Imageurl1,Imageurl2,StockStatus
14976,14977,5013008006030,Maypole,Electronics > Electronics Accessories > Power > Power Adapters & Chargers,https://i1.adis.ws/i/jpl/go_149667_a?w=1000&q=90,https://i1.adis.ws/i/jpl/go_149667_z?w=1000&q=90,OUTOFSTOCK
62404,62405,5060063226248,True Utility,Sporting Goods > Outdoor Recreation > Camping & Hiking > Camping Tools > Multifunction Tools & Knives,https://i1.adis.ws/i/jpl/go_330982_a?w=1000&q=90,https://i1.adis.ws/i/jpl/go_330982_b?w=1000&q=90,OUTOFSTOCK
54942,54943,5056234326398,Handy Heroes,Sporting Goods > Outdoor Recreation > Camping & Hiking > Camping Lights & Lanterns,https://i1.adis.ws/i/jpl/go_329501_a?w=1000&q=90,https://i1.adis.ws/i/jpl/go_329501_b?w=1000&q=90,OUTOFSTOCK
54909,54910,5056234325100,Hi-gear,Sporting Goods > Outdoor Recreation > Camping & Hiking > Camping Lights & Lanterns,https://i1.adis.ws/i/jpl/go_329466_a?w=1000&q=90,https://i1.adis.ws/i/jpl/go_329466_b?w=1000&q=90,OUTOFSTOCK
60468,60469,53163503734,Tfg,Sporting Goods > Outdoor Recreation > Fishing > Tackle Bags & Boxes,https://i1.adis.ws/i/jpl/go_273961_a?w=1000&q=90,https://i1.adis.ws/i/jpl/go_273961_z?w=1000&q=90,OUTOFSTOCK
59236,59237,5031863064200,Lifesystems,Health & Beauty > Personal Care > Cosmetics > Skin Care > Skin Insect Repellent,https://i1.adis.ws/i/jpl/go_206469_a?w=1000&q=90,https://i1.adis.ws/i/jpl/go_206469_z?w=1000&q=90,OUTOFSTOCK
64927,64928,5060137590053,Continental,Home & Garden > Kitchen & Dining > Kitchen Appliances > Portable Cooking Stoves,https://i1.adis.ws/i/jpl/go_300766_a?w=1000&q=90,https://i1.adis.ws/i/jpl/go_300766_b?w=1000&q=90,OUTOFSTOCK
18542,18543,766478942135,Whale,Sporting Goods > Outdoor Recreation > Camping & Hiking > Portable Water Filters & Purifiers,https://i1.adis.ws/i/jpl/go_301077_a?w=1000&q=90,https://i1.adis.ws/i/jpl/go_301077_z?w=1000&q=90,OUTOFSTOCK
14990,14991,5013008829110,Maypole,Sporting Goods > Outdoor Recreation > Camping & Hiking > Camping Lights & Lanterns,https://i1.adis.ws/i/jpl/go_149682_a?w=1000&q=90,https://i1.adis.ws/i/jpl/go_149682_z?w=1000&q=90,OUTOFSTOCK
14643,14644,53163503703,Tfg,Sporting Goods > Outdoor Recreation > Fishing > Fishing Rod Accessories > Fishing Rod Holders & Storage Racks,https://i1.adis.ws/i/jpl/go_139134_a?w=1000&q=90,,OUTOFSTOCK
54792,54793,5056234326022,Hi-gear,Hardware > Tools > Ladders & Scaffolding > Step Stools,https://i1.adis.ws/i/jpl/go_329338_a?w=1000&q=90,https://i1.adis.ws/i/jpl/go_329338_b?w=1000&q=90,OUTOFSTOCK
15186,15187,5060062870145,Hitchman,Sporting Goods > Outdoor Recreation > Camping & Hiking > Portable Water Filters & Purifiers,https://i1.adis.ws/i/jpl/go_151084_a?w=1000&q=90,https://i1.adis.ws/i/jpl/go_151084_z?w=1000&q=90,INSTOCK
